# Date,City,State,Event Type,TO,Best of,Event Locator Link,Notes,Total Players,Lat,Lon,
10/4/2018,Avon,OH,USA,PC,Anthony Haslage,Bo1,https://www.pokemon.com/us/play-pokemon/pokemon-events/18-10-000204/,Not enough players- event cancelled.,0,41.46719,-82.01989
10/6/2018,Fremont,CA,USA,MSS,Cassandra Fordyce,Bo3,https://www.pokemon.com/us/play-pokemon/pokemon-events/18-10-000128/,,29,37.55091,-121.98217
10/6/2018,West Valley City,UT,USA,PC,Christopher Beckstrom,-,https://www.pokemon.com/us/play-pokemon/pokemon-events/18-10-000169/,,12,40.69422,-111.95789
10/6/2018,Lakewood,WA,USA,MSS,Terry Kamm,-,https://www.pokemon.com/us/play-pokemon/pokemon-events/18-10-000715/,,12,47.16195,-122.51493
10/6/2018,Cambridge,MA,USA,PC,Christina Liao,Bo3,https://www.pokemon.com/us/play-pokemon/pokemon-events/18-10-001250/,,11,42.3668,-71.10602
10/6/2018,Dublin,OH,USA,MSS,Jim Olivola,Bo3,https://www.pokemon.com/us/play-pokemon/pokemon-events/18-10-001134/,,11,40.10497,-83.13309
10/6/2018,Dublin,OH,USA,PC,Jim Olivola,Bo1,https://www.pokemon.com/us/play-pokemon/pokemon-events/18-10-001180/,to immediately follow MSS,8,40.10497,-83.13309
10/6/2018,Tijuana,Baja California,MX,MSS,Ricardo Rodriguez,Bo3,https://www.pokemon.com/us/play-pokemon/pokemon-events/18-11-000065/,,13,32.53508,-117.04097
10/6/2018,Merida,Yucatan,MX,PC,Arturo Gonzalez,-,https://www.pokemon.com/us/play-pokemon/pokemon-events/18-10-000074/,,9,20.9667,-89.62317
10/7/2018,Portland,OR,USA,MSS,June Clanton,Bo3,https://www.pokemon.com/us/play-pokemon/pokemon-events/18-10-000206/,,8,45.5118,-122.67563
10/14/2018,Montreal,Quebec,CAN,PC,Melissa Lemieux,-,https://www.pokemon.com/us/play-pokemon/pokemon-events/18-10-000501/,Rescheduled to 10/14- to be moved.,8,45.51241,-73.55469
10/8/2018,Tijuana,Baja California,MX,PC,Ricardo Rodriguez,-,https://www.pokemon.com/us/play-pokemon/pokemon-events/18-10-002249/,,10,32.53508,-117.04097
10/9/2018,Milwaukie,OR,USA,PC,Chris Clanton,Bo3,https://www.pokemon.com/us/play-pokemon/pokemon-events/18-10-000205/,*-not enough players- event cancelled,3,45.44517,-122.64153
10/11/2018,Lakewood,WA,USA,PC,Kyle Joyner,-,https://www.pokemon.com/us/play-pokemon/pokemon-events/18-10-002435/,free,8,47.16195,-122.51493
10/12/2018,Cancun,Quintana Roo,MX,PC,Mario Cisneros Garcia,-,https://www.pokemon.com/us/play-pokemon/pokemon-events/18-10-001034/,rescheduled from 10/6/,11,21.12633,-86.84582
10/13/2018,Independence,MO,USA,MSS,Sandy Moldenhauer,Bo3,https://www.pokemon.com/us/play-pokemon/pokemon-events/18-10-000151/,,15,39.09324,-94.41563
10/13/2018,Independence,MO,USA,PC,Sandy Moldenhauer,Bo1,https://www.pokemon.com/us/play-pokemon/pokemon-events/18-10-000219/,to immediately follow MSS,11,39.09324,-94.41563
10/13/2018,Fort Wayne,IN,USA,MSS,Michael Woitalla,Bo3,https://www.pokemon.com/us/play-pokemon/pokemon-events/18-10-000213/,$5 entry,37,41.08026,-85.13831
10/13/2018,Fort Wayne,IN,USA,PC,Michael Woitalla,Bo1,https://www.pokemon.com/us/play-pokemon/pokemon-events/18-10-000837/,to immediately follow MSS,29,41.08026,-85.13831
10/13/2018,Northglenn,CO,USA,PC,Dave Meyer,Bo3,https://www.pokemon.com/us/play-pokemon/pokemon-events/18-10-000225/,,8,39.91162,-104.9866
10/13/2018,Decatur,GA,USA,MSS,Brandon Oramas,Bo3,https://www.pokemon.com/us/play-pokemon/pokemon-events/18-10-000180/,,15,33.77426,-84.29659
10/13/2018,Decatur,GA,USA,PC,Brandon Oramas,Bo1,https://www.pokemon.com/us/play-pokemon/pokemon-events/18-10-000179/,to immediately follow MSS,9,33.77426,-84.29659
10/13/2018,Lindenhurst,NY,USA,MSS,Robert Mirabile,Bo3,https://www.pokemon.com/us/play-pokemon/pokemon-events/18-09-001560/,,28,40.68177,-73.36755
10/13/2018,Auburn,WA,USA,MSS,David Nelson,Bo3,https://www.pokemon.com/us/play-pokemon/pokemon-events/18-10-001167/,includes pizza and a drink,11,47.3074,-122.23041
10/13/2018,Chicopee,MA,USA,PC,Joao Aquino,Bo1,https://www.pokemon.com/us/play-pokemon/pokemon-events/18-10-001720/,free entry,8,42.1482,-72.60697
10/13/2018,Jenks,OK,USA,PC,Amy Featherstone,Bo1,https://www.pokemon.com/us/play-pokemon/pokemon-events/18-10-000117/,rescheduled from 10/6/2018. not enough players- event cancelled.,2,36.02434,-95.97587
10/13/2018,Toluca,Estada de Mexico,MEX,MSS,Luis Alberto Valencia Rodriguez,-,https://www.pokemon.com/us/play-pokemon/pokemon-events/18-10-000914/,,25,19.34077,-99.21089
10/13/2018,Gatineau,Quebec,CAN,MSS,Eric Demers,Bo3,https://www.pokemon.com/us/play-pokemon/pokemon-events/18-10-000216/,,15,45.4283,-75.71037
10/13/2018,Gatineau,Quebec,CAN,PC,Eric Demers,Bo1,https://www.pokemon.com/us/play-pokemon/pokemon-events/18-10-000217/,to immediately follow MSS,11,45.4283,-75.71037
10/13/2018,Oakville,Ontario,CAN,PC,Morpheus Meadows,Bo3,https://www.pokemon.com/us/play-pokemon/pokemon-events/18-10-001146/,,10,43.46644,-79.69001
10/13/2018,Camarillo,CA,USA,MSS,Miguel Campos,Bo3,https://www.pokemon.com/us/play-pokemon/pokemon-events/18-10-000165/,,28,34.2234,-119.05072
10/13/2018,Phoenix,AZ,USA,MSS,Patricia McCann,Bo3,https://www.pokemon.com/us/play-pokemon/pokemon-events/18-10-003223/,,8,33.44826,-112.0758
10/13/2018,Meridian,ID,USA,PC,Jessica Roest,Bo3,https://www.pokemon.com/us/play-pokemon/pokemon-events/18-10-002637/,Not enough players- canceled,,43.61103,-116.39258
10/14/2018,Toluca,Estada de Mexico,MEX,PC,Rodrigo Segovia,-,https://www.pokemon.com/us/play-pokemon/pokemon-events/18-10-002189/,,19,19.34077,-99.21089
