# Date,City,State,Event Type,TO,Best of,Event Locator Link,Notes,Total Players,Lat,Lon
9/6/2018,Maitland,FL,PC,Jason Rangel,Bo3,https://www.pokemon.com/us/play-pokemon/pokemon-events/18-09-000306/,,18,28.62736,-81.36454
9/6/2018,Avon,OH,PC,Anthony Haslage,Bo1,https://www.pokemon.com/us/play-pokemon/pokemon-events/18-09-000273/,,9,41.46719,-82.01989
9/8/2018,Niles,IL,PC,Joseph Cross,Bo3,https://www.pokemon.com/us/play-pokemon/pokemon-events/18-09-000585/,,27,42.02621,-87.80077
9/8/2018,San Antonio,TX,PC,Codie Cobb,-,https://www.pokemon.com/us/play-pokemon/pokemon-events/18-09-000509/,,10,29.42458,-98.49461
9/8/2018,Jenks,OK,PC,Amy Featherstone,Bo1,https://www.pokemon.com/us/play-pokemon/pokemon-events/18-09-000513/,,9,36.02434,-95.97587
9/8/2018,Northglenn,CO,PC,Dave Meyer,-,https://www.pokemon.com/us/play-pokemon/pokemon-events/18-09-000272/,,20,39.91162,-104.9866
9/8/2018,Dublin,OH,PC,James Olivola,Bo3,https://www.pokemon.com/us/play-pokemon/pokemon-events/18-09-000816/,,20,40.10497,-83.13309
9/9/2018,Findlay,OH,PC,Johnathan Neville,Bo3,https://www.pokemon.com/us/play-pokemon/pokemon-events/18-09-000873/,,14,41.0374,-83.65029
9/10/2018,Auburn,WA,PC,David Nelson,Bo1,https://www.pokemon.com/us/play-pokemon/pokemon-events/18-09-001050/,,15,47.3074,-122.23041
9/13/2018,Lakewood,WA,PC,Terry Kamm,-,https://www.pokemon.com/us/play-pokemon/pokemon-events/18-09-001306/,Free,12,47.16195,-122.51493
9/16/2018,Phoenix,AZ,PC,Patricia McCann,Bo3,https://www.pokemon.com/us/play-pokemon/pokemon-events/18-09-000769/,,15,33.44826,-112.0758
9/16/2018,Milwaukie,OR,PC,Seth Kuepker,Bo3,https://www.pokemon.com/us/play-pokemon/pokemon-events/18-09-001228/,,11,45.44517,-122.64153
9/18/2018,Milwaukie,OR,PC,June Clanton,Bo3,https://www.pokemon.com/us/play-pokemon/pokemon-events/18-09-001194/,,8,45.44517,-122.64153
9/22/2018,Gaithersburg,MD,PC,Kyle Littleton,Bo3,https://www.pokemon.com/us/play-pokemon/pokemon-events/18-09-000299/,,20,39.14036,-77.19373
9/22/2018,Norwalk,CA,PC,Miguel Campos,-,https://www.pokemon.com/us/play-pokemon/pokemon-events/18-09-000315/,,37,33.91681,-118.07253
9/22/2018,Mississippi State University,MS,PC,Joseph Brummett,Bo3,https://www.pokemon.com/us/play-pokemon/pokemon-events/18-09-000270/,cancelled,2,34.47223,-89.00176
9/22/2018,Meridian,ID,PC,Jessica Roest,Bo3,https://www.pokemon.com/us/play-pokemon/pokemon-events/18-09-000648/,,9,43.61103,-116.39258
9/22/2018,Coon Rapids,MN,PC,Ryan Alperstein,Bo3*,https://www.pokemon.com/us/play-pokemon/pokemon-events/18-09-001082/,,12,45.17309,-93.3044
9/22/2018,Kent,OH,PC,Patrick Brett,Bo3,https://www.pokemon.com/us/play-pokemon/pokemon-events/18-09-001302/,,10,41.15092,-81.35822
9/23/2018,Raleigh,NC,PC,Tommy Roberson,-,https://www.pokemon.com/us/play-pokemon/pokemon-events/18-09-000429/,date change from 9/16 to 9/23,22,35.78551,-78.64267
9/23/2018,Loves Park,IL,PC,Suzanne Nortridge,Bo3,https://www.pokemon.com/us/play-pokemon/pokemon-events/18-09-000891/,,25,42.31607,-89.05721
9/23/2018,Coon Rapids,MN,PC,Thomas Collins,-,https://www.pokemon.com/us/play-pokemon/pokemon-events/18-09-001095/,,8,45.17309,-93.3044
9/23/2018,Houston,TX,PC,Miki Andrade,-,https://www.pokemon.com/us/play-pokemon/pokemon-events/18-09-001108/,,20,29.76059,-95.36968
9/23/2018,Lenexa,KS,PC,Stephen Clouse,Bo3,https://www.pokemon.com/us/play-pokemon/pokemon-events/18-09-001480/,cancelled,6,38.96145,-94.73992
9/23/2018,Fincastle,VA,PC,Marthe Honts,-,https://www.pokemon.com/us/play-pokemon/pokemon-events/18-09-001234/,Free,10,37.4998,-79.87243
9/27/2018,Lakewood,WA,PC,Michael Payne,-,https://www.pokemon.com/us/play-pokemon/pokemon-events/18-09-001441/,,11,47.16195,-122.51493
9/28/2018,Atlanta,GA,PC,Wade Miletto,Bo3,https://www.pokemon.com/us/play-pokemon/pokemon-events/18-09-000552/,,20,33.74832,-84.39111
9/29/2018,Hurst,TX,PC,Christine Noah,-,https://www.pokemon.com/us/play-pokemon/pokemon-events/18-09-001977/,,14,32.84106,-97.18618
9/29/2018,Fremont,CA,PC,Genny DiLeonardo,Bo1,https://www.pokemon.com/us/play-pokemon/pokemon-events/18-09-000541/,,18,37.55091,-121.98217
9/29/2018,Columbus,OH,PC,Ryan Patterson,Bo3,https://www.pokemon.com/us/play-pokemon/pokemon-events/18-09-000246/,,13,39.96199,-83.00276
9/29/2018,Independence,MO,PC,Sandy Moldenhauer,Bo3,https://www.pokemon.com/us/play-pokemon/pokemon-events/18-09-000407/,,10,39.09324,-94.41563
9/29/2018,Dublin,OH,PC,Laura Norton,Bo1,https://www.pokemon.com/us/play-pokemon/pokemon-events/18-09-001114/,Free,14,40.10497,-83.13309
9/29/2018,Decatur,GA,PC,Brandon Oramas,Bo1,https://www.pokemon.com/us/play-pokemon/pokemon-events/18-09-001201/,,9,33.77426,-84.29659
9/29/2018,Lindenhurst,NY,PC,Robert Mirabile,Bo3,https://www.pokemon.com/us/play-pokemon/pokemon-events/18-09-001623/,,12,40.68177,-73.36755
9/29/2018,Salt Lake City,UT,PC,Daniel Cheney,-,https://www.pokemon.com/us/play-pokemon/pokemon-events/18-09-001861/,,8,40.76031,-111.88822
9/30/2018,La Jolla,CA,PC,Mike Ellis,Bo3,https://www.pokemon.com/us/play-pokemon/pokemon-events/18-09-000335/,,35,32.84067,-117.25821
9/30/2018,Huntsville,AL,PC,Mitch Beyer,-,https://www.pokemon.com/us/play-pokemon/pokemon-events/18-09-000934/,,9,34.7293,-86.58511
9/30/2018,Frederick,MD,PC,Jason Inman,Bo1,https://www.pokemon.com/us/play-pokemon/pokemon-events/18-09-001124/,,21,39.41575,-77.41203
9/30/2018,Sanford,FL,PC,TJ DiGiacomo,Bo3,https://www.pokemon.com/us/play-pokemon/pokemon-events/18-09-001640/,Free,14,28.81397,-81.26805
9/30/2018,Corpus Christi,TX,PC,Jonathan Turner,Bo3,https://www.pokemon.com/us/play-pokemon/pokemon-events/18-09-001768/,,8,27.79642,-97.40374
9/30/2018,Phoenix,AZ,PC,Joseph Lugo,Bo3,https://www.pokemon.com/us/play-pokemon/pokemon-events/18-09-001890/,,8,33.44826,-112.0758
9/30/2018,Fort Collins,CO,PC,Michael Pule,Bo3,https://www.pokemon.com/us/play-pokemon/pokemon-events/18-09-001973/,,11,40.58147,-105.07662
